Premise,Hypothesis,Label
"Additionally, the low loan amount and short loan duration suggest a lack of financial stability and a higher risk of default",the customer is Bad credit,contradiction
a low installment rate compared to the average,the customer is Bad credit,contradiction
a loan amount below the average,the customer is Bad credit,contradiction
a low loan amount compared to the average,the customer is Bad credit,contradiction
a low loan amount compared to the bank's average,the customer is Bad credit,contradiction
a loan amount below the average,the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
"Additionally, the loan duration and amount, along with the lack of a stable employment history, further contribute to a negative credit profile",the customer is Bad credit,contradiction
and a low installment rate compared to the average,the customer is Bad credit,contradiction
The high loan amount and short loan duration suggest potential risk,the customer is Bad credit,contradiction
and a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
"Additionally, the customer's employment history is relatively short, and they have a high number of people being liable to provide maintenance for, which could indicate financial strain",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
"Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a non-registered telephone",the customer is Bad credit,contradiction
"Additionally, the customer's employment status is not a skilled employee or a resident, and they have a high number of people being liable to provide maintenance for, which may indicate financial strain",the customer is Bad credit,contradiction
and an age older than 50% of all cases in the bank,the customer is Bad credit,contradiction
and a lack of other debtors,the customer is Bad credit,contradiction
a lower loan amount,the customer is Bad credit,contradiction
a shorter loan duration,the customer is Bad credit,contradiction
"Additionally, the installment rate is lower than 50% of all cases in the bank, indicating potential financial strain",the customer is Bad credit,contradiction
"The customer's age, housing status, and job type also raise concerns, suggesting that they may not have a stable financial foundation",the customer is Bad credit,contradiction
a lower loan amount,the customer is Bad credit,contradiction
The customer also has a high age,the customer is Bad credit,contradiction
and a high number of people being liable to provide maintenance,the customer is Bad credit,contradiction
"Additionally, their installment rate is lower than 50% of all cases in the bank, and they have a relatively short employment tenure, which may suggest financial uncertainty",the customer is Bad credit,contradiction
"Additionally, the customer's age is older than 50% of the bank's average age, and they have other installment plans through stores, indicating a higher risk of default",the customer is Bad credit,contradiction
"and a loan amount lower than 50% of all cases in the bank, indicating potential financial instability",the customer is Bad credit,contradiction
"Additionally, the customer's employment status is not a skilled employee or a resident, and they have a high number of people being liable to provide maintenance for, which may indicate financial strain",the customer is Bad credit,contradiction
The customer's age is also above the median,the customer is Bad credit,contradiction
a long-term loan assignment,the customer is Good credit,contradiction
a high loan amount,the customer is Good credit,contradiction
"Additionally, they are a foreign worker, have a stable housing situation, and are not a debtor with other debtors",the customer is Good credit,contradiction
"Additionally, the customer's employment status is relatively short-term, and their installment rate is lower than the average",the customer is Bad credit,contradiction
"The customer also has no other debtors and is not a homeowner, which further indicates financial instability",the customer is Bad credit,contradiction
a low installment rate,the customer is  bad credit,contradiction
and older age are indicators of financial strain,the customer is  bad credit,contradiction
The low installment rate relative to disposable income suggests limited financial flexibility,the customer is  bad credit,contradiction
"The customer exhibits several risk factors such as low balances in checking and savings accounts, short employment duration, below-average loan amounts and installment rates, younger age, and lack of property ownership, which collectively suggest a lower creditworthiness and financial stability, despite not having other debtors",the customer is  bad credit,contradiction
a low installment rate,the customer is  bad credit,contradiction
lower loan amount,the customer is  bad credit,contradiction
"combined with a long employment duration, suggest financial strain",the customer is  bad credit,contradiction
and an age that is older than the majority of the bank's clientele,the customer is  bad credit,contradiction
"The lack of property ownership, skilled employment, and the fact that they are not the sole liable party for maintenance further contribute to the assessment of poor creditworthiness",the customer is  bad credit,contradiction
"combined with a low savings account and older age, indicate financial instability and a higher risk of default",the customer is  bad credit,contradiction
The low installment rate relative to disposable income further suggests difficulty in managing debt,the customer is  bad credit,contradiction
"Additionally, the age being older than 50% of all cases suggests a potentially limited earning capacity or a longer credit history with possible negative impacts",the customer is  bad credit,contradiction
"Additionally, the customer's age being above the median, lack of property ownership, and unregistered telephone further suggest a lack of stability and resources, which are critical factors in assessing creditworthiness",the customer is  bad credit,contradiction
"Additionally, the customer's age being above the median and the lack of property ownership further contribute to a higher risk profile",the customer is  bad credit,contradiction
"The customer exhibits several risk factors such as a low checking account balance, unemployment, a high loan amount relative to others, and an older age group, which are indicative of potential financial instability and inability to meet repayment obligations, despite having a high savings balance and owning their home",the customer is  bad credit,contradiction
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding the majority of cases,the customer is Bad credit,entailment
a high loan amount exceeding the majority of cases,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the majority of cases,the customer is Bad credit,entailment
a high loan amount exceeding the majority of cases,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
a relatively short employment history,the customer is Bad credit,entailment
and a high proportion of disposable income being allocated to installment payments,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker, which can be a significant factor in creditworthiness assessments",the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
unemployment,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
short employment history,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a high loan amount exceeding the average,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a short employment history,the customer is Bad credit,entailment
and being a foreign worker,the customer is Bad credit,entailment
These factors suggest potential financial instability and a higher risk of defaulting on loans,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a loan duration exceeding the average,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a high loan amount exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a high installment rate exceeding 50% of the bank's cases,the customer is Bad credit,entailment
and a history of being a foreign worker,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a high loan amount exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a high loan amount exceeding the average,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
The high installment rate exceeding 50% of disposable income,the customer is Bad credit,entailment
co-applicant status for other debts,the customer is Bad credit,entailment
and foreign worker status all suggest a higher risk of default,the customer is Bad credit,entailment
"Additionally, the low balance in the saving account and the lack of a registered phone number further contribute to a negative credit profile",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a high loan amount exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
a high installment rate exceeding 50% of the bank's cases,the customer is Bad credit,entailment
and a history of other installment plans,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker",the customer is Bad credit,entailment
and their housing situation is not owned,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding 50% of the bank's cases,the customer is Bad credit,entailment
a high installment rate exceeding 50% of the bank's cases,the customer is Bad credit,entailment
and a history of other installment plans,the customer is Bad credit,entailment
"Additionally, the foreign worker status and lack of property ownership further contribute to a negative assessment",the customer is Bad credit,entailment
unemployment,the customer is Bad credit,entailment
low balance in checking account,the customer is Bad credit,entailment
high loan amount,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a high loan amount exceeding the average,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a short employment history,the customer is Bad credit,entailment
a high installment rate exceeding the average,the customer is Bad credit,entailment
co-applicant status for other debts,the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
a long loan duration,the customer is Bad credit,entailment
a high loan amount,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
"Additionally, the customer's employment status is relatively short-term, and they have a foreign worker status, which may indicate financial instability",the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
"and a foreign worker status, which may indicate financial instability or a lack of local ties",the customer is Bad credit,entailment
"The customer has multiple red flags, including a low checking account balance",the customer is Bad credit,entailment
a long loan duration,the customer is Bad credit,entailment
a high loan amount,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
unemployment,the customer is Bad credit,entailment
a high installment rate,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
and a short employment history,the customer is Bad credit,entailment
"Additionally, the customer has a foreign worker status, which may indicate a higher risk of default",the customer is Bad credit,entailment
"The customer's financial status is further compromised by the fact that they have a low balance in their saving account and do not own a house, indicating a lack of financial stability",the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan with a duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a shorter than 1-year employment history,the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a high installment rate in percentage of disposable income,the customer is Bad credit,entailment
"Additionally, the customer's employment status is not verified, and they have a foreign worker status, which may indicate potential issues with their financial stability and creditworthiness",the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
a high installment rate in percentage of disposable income,the customer is Bad credit,entailment
and a telephone not registered under the customer's name,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker, which may indicate financial instability or uncertainty",the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
a long loan duration,the customer is Bad credit,entailment
a high loan amount,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
and an installment rate that is higher than 50% of all cases in the bank,the customer is Bad credit,entailment
"The customer's foreign worker status may also be a concern, as it could indicate a lack of financial stability in their home country",the customer is Bad credit,entailment
